,no_of_sales_12M_1,no_of_Redemption_12M_1,no_of_sales_12M_10K,no_of_Redemption_12M_10K,no_of_funds_sold_12M_1,no_of_funds_redeemed_12M_1,no_of_fund_sales_12M_10K,no_of_funds_Redemption_12M_10K,no_of_assetclass_sold_12M_1,no_of_assetclass_redeemed_12M_1,no_of_assetclass_sales_12M_10K,no_of_assetclass_Redemption_12M_10K,No_of_fund_curr,No_of_asset_curr,AUM,sales_curr,sales_12M,redemption_curr,redemption_12M,new_Fund_added_12M,sales_2019,new_fund_2019,total_sales,Channel_Asset Manager,Channel_Bank/Trust,Channel_Discount,Channel_Dual,Channel_Fee-Based Adviser,Channel_Independent Dealer,Channel_International Outlet,Channel_Low/Non Producer,Channel_National Broker-Dealer,Channel_Networker,Channel_Private Client Group,Sub channel_Affiliated,Sub channel_DCIO,Sub channel_Global,Sub channel_IBD,Sub channel_NACS,Sub channel_Other,Sub channel_RIA,Sub channel_USBT
1626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,159513.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1627,2.0,11.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,3.0,3603398.8573910003,0.0,15237.81,0.0,-110595.136674,0.0,11717.1615,0.0,15237.81,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1628,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,307.03,0.0,0.0,-3724.5,0.0,2051.54,1.0,307.03,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1629,116.0,210.0,25.0,13.0,10.0,12.0,6.0,6.0,4.0,4.0,4.0,3.0,11.0,4.0,1153802.915,24166.18,746611.435,-40032.455,-441838.28,2.0,493554.045,1.0,770777.6150000001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1630,56.0,19.0,1.0,1.0,10.0,5.0,1.0,1.0,4.0,3.0,1.0,1.0,8.0,3.0,1156476.285,497.35,39676.37,0.0,-54768.51,3.0,797.35,0.0,40173.72,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2487.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1633,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.585,0.0,0.0,0.0,-1053.425,0.0,2446.51,1.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1634,2.0,41.0,0.0,1.0,2.0,2.0,0.0,1.0,2.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,2206.69,-4431.86,-117371.75,0.0,8981.0,0.0,2206.69,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1635,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,470122.821146,66677.8329,249993.5,0.0,0.0,0.0,472226.413064,1.0,316671.3329,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
